timestamp,heart_rate
2024-01-01 00:00:00,72.5
2024-01-01 00:15:00,69.7
2024-01-01 00:30:00,74.0
2024-01-01 00:45:00,78.8
2024-01-01 01:00:00,70.4
2024-01-01 01:15:00,70.8
2024-01-01 01:30:00,80.3
2024-01-01 01:45:00,76.6
2024-01-01 02:00:00,70.8
2024-01-01 02:15:00,76.2
2024-01-01 02:30:00,71.6
2024-01-01 02:45:00,71.9
2024-01-01 03:00:00,75.8
2024-01-01 03:15:00,65.4
2024-01-01 03:30:00,66.7
2024-01-01 03:45:00,72.8
2024-01-01 04:00:00,70.9
2024-01-01 04:15:00,77.9
2024-01-01 04:30:00,72.1
2024-01-01 04:45:00,69.8
2024-01-01 05:00:00,84.5
2024-01-01 05:15:00,76.3
2024-01-01 05:30:00,78.1
2024-01-01 05:45:00,70.8
2024-01-01 06:00:00,75.5
2024-01-01 06:15:00,79.0
2024-01-01 06:30:00,72.9
2024-01-01 06:45:00,80.7
2024-01-01 07:00:00,76.0
2024-01-01 07:15:00,77.7
2024-01-01 07:30:00,76.3
2024-01-01 07:45:00,88.7
2024-01-01 08:00:00,79.5
2024-01-01 08:15:00,74.4
2024-01-01 08:30:00,83.9
2024-01-01 08:45:00,73.8
2024-01-01 09:00:00,81.0
2024-01-01 09:15:00,70.2
2024-01-01 09:30:00,73.3
2024-01-01 09:45:00,81.0
2024-01-01 10:00:00,83.7
2024-01-01 10:15:00,80.8
2024-01-01 10:30:00,79.4
2024-01-01 10:45:00,78.4
2024-01-01 11:00:00,72.4
2024-01-01 11:15:00,76.1
2024-01-01 11:30:00,77.3
2024-01-01 11:45:00,84.8
2024-01-01 12:00:00,81.1
2024-01-01 12:15:00,70.4
2024-01-01 12:30:00,80.7
2024-01-01 12:45:00,77.0
2024-01-01 13:00:00,75.3
2024-01-01 13:15:00,81.6
2024-01-01 13:30:00,83.4
2024-01-01 13:45:00,82.7
2024-01-01 14:00:00,73.6
2024-01-01 14:15:00,76.0
2024-01-01 14:30:00,78.9
2024-01-01 14:45:00,81.9
2024-01-01 15:00:00,74.3
2024-01-01 15:15:00,75.5
2024-01-01 15:30:00,70.6
2024-01-01 15:45:00,69.8
2024-01-01 16:00:00,79.5
2024-01-01 16:15:00,81.9
2024-01-01 16:30:00,74.4
2024-01-01 16:45:00,79.4
2024-01-01 17:00:00,75.9
2024-01-01 17:15:00,70.4
2024-01-01 17:30:00,75.1
2024-01-01 17:45:00,80.6
2024-01-01 18:00:00,72.4
2024-01-01 18:15:00,80.0
2024-01-01 18:30:00,58.6
2024-01-01 18:45:00,75.5
2024-01-01 19:00:00,71.4
2024-01-01 19:15:00,69.1
2024-01-01 19:30:00,70.6
2024-01-01 19:45:00,59.8
2024-01-01 20:00:00,68.3
2024-01-01 20:15:00,70.7
2024-01-01 20:30:00,75.9
2024-01-01 20:45:00,65.6
2024-01-01 21:00:00,63.7
2024-01-01 21:15:00,64.9
2024-01-01 21:30:00,71.6
2024-01-01 21:45:00,68.3
2024-01-01 22:00:00,63.6
2024-01-01 22:15:00,68.4
2024-01-01 22:30:00,66.0
2024-01-01 22:45:00,70.0
2024-01-01 23:00:00,61.3
2024-01-01 23:15:00,62.8
2024-01-01 23:30:00,62.2
2024-01-01 23:45:00,56.5
2024-01-02 00:00:00,65.0
2024-01-02 00:15:00,64.5
2024-01-02 00:30:00,62.9
2024-01-02 00:45:00,61.5
2024-01-02 01:00:00,55.3
2024-01-02 01:15:00,60.0
2024-01-02 01:30:00,60.2
2024-01-02 01:45:00,57.6
2024-01-02 02:00:00,60.6
2024-01-02 02:15:00,63.3
2024-01-02 02:30:00,70.5
2024-01-02 02:45:00,61.8
2024-01-02 03:00:00,62.0
2024-01-02 03:15:00,60.2
2024-01-02 03:30:00,50.9
2024-01-02 03:45:00,60.2
2024-01-02 04:00:00,60.5
2024-01-02 04:15:00,72.5
2024-01-02 04:30:00,59.1
2024-01-02 04:45:00,61.6
2024-01-02 05:00:00,59.8
2024-01-02 05:15:00,54.2
2024-01-02 05:30:00,65.7
2024-01-02 05:45:00,63.8
2024-01-02 06:00:00,64.0
2024-01-02 06:15:00,55.5
2024-01-02 06:30:00,67.2
2024-01-02 06:45:00,53.2
2024-01-02 07:00:00,63.3
2024-01-02 07:15:00,71.4
2024-01-02 07:30:00,55.6
2024-01-02 07:45:00,57.9
2024-01-02 08:00:00,61.4
2024-01-02 08:15:00,58.5
2024-01-02 08:30:00,53.5
2024-01-02 08:45:00,61.8
2024-01-02 09:00:00,56.3
2024-01-02 09:15:00,64.2
2024-01-02 09:30:00,57.5
2024-01-02 09:45:00,70.1
2024-01-02 10:00:00,58.7
2024-01-02 10:15:00,61.3
2024-01-02 10:30:00,67.2
2024-01-02 10:45:00,57.3
2024-01-02 11:00:00,64.9
2024-01-02 11:15:00,70.6
2024-01-02 11:30:00,56.4
2024-01-02 11:45:00,65.7
2024-01-02 12:00:00,66.4
2024-01-02 12:15:00,69.4
2024-01-02 12:30:00,59.6
2024-01-02 12:45:00,59.6
2024-01-02 13:00:00,69.2
2024-01-02 13:15:00,68.4
2024-01-02 13:30:00,68.6
2024-01-02 13:45:00,69.4
2024-01-02 14:00:00,64.7
